name,address,website,phone_number,reviews_count,reviews_average,opens_at
Provisiones San Francisco,"884Q+PM, Lolol, O'Higgins",,,,,Comercio, Cierra a las 10p.m.
Santa sabina,"Acceso a Mall Pl. Trébol, Concepción, Talcahuano, Bío Bío",,Comercio,
Supermercado Santa Sabina,"Abate Molina 1503, 4090370 Concepción, Bío Bío",(41) 248 0853,Tienda de alimentación, Cierra a las 8p.m.
Distrito San Andrés,"Ramón Carrasco 99, local 20, 4030000 Concepción, Bío Bío",,9 7308 2878,1.0,5.0,Tienda de ropa, Cierra a las 6p.m.
Apart Lomas de San Andrés,"Parque Urbano - Avenida Alessandri, Acceso Lomas de San Andrés 450, Concepción, Bío Bío",lomasdesanandres.cl,9 9345 3813,207.0,4.2,,
Lomas de San Andrés,"Av. Siete Lagunas 1076, 4091012 Concepción, Bío Bío",,,5.0,4.4,Condominio,
Plaza Lomas De San Andrés,"Francisco Lazo de La Vega 280, Concepción, Bío Bío",,,366.0,4.4,Parque local,
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun
Altos de San Andrés Pocuro,"Av. Siete Lagunas 939, 4090941 Concepción, Bío Bío",pocuro.cl,,13.0,4.5,Empresa de construcción,
Lilas Concepcion,"local20 - Ramon Carrasco, Acceso Lomas de San Andrés 99, 4030000 Concepción, Bío Bío",,9 7308 2878,,,Tienda de accesorios de moda, 4p.m. 
Rotonda Lomas de Bellavista,"4090886 Concepción, Bío Bío",,,224.0,4.4,Parque,,None Found
Saba Casa Matriz,"Maipú 839, 4030456 Concepción, Bío Bío",saba.cl,(41) 222 8609,894.0,4.3,Tienda de uniformes, Abre a las 9:15a.m. del lun,None Found
Mallplaza Trébol,"Av. Pdte. Jorge Alessandri Rodriguez 3177, 4300818 Talcahuano, Bío Bío",mallplaza.com,600 585 7000,24750.0,4.5,Centro comercial, Cierra a las 9p.m.,None Found
Lomas De Bellavista,"D-409 1880, La Serena, Coquimbo",,9 7390 4773,29.0,4.6,Condominio,,None Found
SALA DE VENTAS - Edificio Bellavista,"Concepción, Bío Bío",ialba.cl,,1.0,5.0,Complejo de apartamentos,,None Found
Esquerre Hnos Ltda,"Arturo Prat 930, 4030558 Concepción, Bío Bío",esquerre.cl,(41) 288 6980,29.0,4.7,Tienda de ropa de trabajo, Abre a las 9a.m. del lun,None Found
Patio Bellavista,"Constitución 50, 7520394 Providencia, Región Metropolitana",patiobellavista.cl,(2) 2249 8700,21543.0,4.6,Centro comercial, Cierra a las 3a.m.,"Centro comercial animado con tiendas únicas, restaurantes con patios y bares de cocteles."
CONDOMINIO LOMAS DE BELLAVISTA,"O-524, Yumbel, Bío Bío",,,,,Condominio,,None Found
Global Shope,"villa universitaria, 4030000 Concepción, Bío Bío",,9 5351 4602,Bazar,
Tienda Oficial Club Universidad de Chile,"Av. Fernández Albano 0637, 7970719 La Cisterna, Región Metropolitana",tienda.udechile.cl,(2) 2899 9962,Tienda de artículos deportivos coleccionables, Abre a las 10a.m. del lun
Edificios Terrazas De Collao,"1774, Collao 1764, Concepción, Bío Bío",,9 7587 2075,139.0,4.2,Edificio de apartamentos,
Edificio Centro Collao,"Collao 794, 4050017 Concepción, Bío Bío",,,5.0,3.4,Complejo de apartamentos,
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun
Turcata Outlet,"Tucapel 1318, 4030000 Concepción, Bío Bío",turcata.cl,9 8704 3070,24.0,4.2,Outlet, Abre a las 10a.m. del lun
Edificio Mirador collao,"Collao 750, 4050144 Concepción, Bío Bío",,,5.0,3.6,Edificio de apartamentos amueblados,
Edificio Bosques de Collao,"Arturo Pérez Canto 660, 4050131 Concepción, Bío Bío",lontue.com,,2.0,5.0,Edificio de apartamentos,
Edificio Nuevo Collao,"Collao 1585, 4051145 Concepción, Bío Bío",,,4.0,4.8,Edificio de apartamentos,
Condominio Piedra Real,"Las Heras 2241, 4030000 Concepción, Bío Bío",,9 3547 9633,186.0,4.2,Edificio de apartamentos,
Departamento,"Collao 1091, Concepción, Bío Bío",,,,,Edificio de apartamentos,
